,start_century,start_decade,now
GB,44,37,36
DE,53,46,41
IT,45,36,25
FR,48,40,28
ES,49,49,44
PT,56,55,54
GR,57,58,50
SE,36,35,28
DK,47,41,40
FI,43,39,38
AT,53,47,37
NL,40,43,27
BE,34,31,36
IE,19,23,32
